#           k/h    P           
   0.742170E-04   0.314221E+03
   0.829389E-04   0.349814E+03
   0.926858E-04   0.389437E+03
   0.103578E-03   0.433542E+03
   0.115751E-03   0.482638E+03
   0.129354E-03   0.537284E+03
   0.144555E-03   0.598107E+03
   0.161543E-03   0.665799E+03
   0.180527E-03   0.741130E+03
   0.201743E-03   0.824954E+03
   0.225451E-03   0.918218E+03
   0.251946E-03   0.102197E+04
   0.281555E-03   0.113736E+04
   0.314643E-03   0.126568E+04
   0.351619E-03   0.140832E+04
   0.392941E-03   0.156684E+04
   0.439119E-03   0.174294E+04
   0.490724E-03   0.193847E+04
   0.548394E-03   0.215545E+04
   0.612840E-03   0.239608E+04
   0.684861E-03   0.266273E+04
   0.765345E-03   0.295795E+04
   0.855288E-03   0.328448E+04
   0.955800E-03   0.364521E+04
   0.106813E-02   0.404316E+04
   0.119365E-02   0.448148E+04
   0.133393E-02   0.496336E+04
   0.149069E-02   0.549200E+04
   0.166587E-02   0.607048E+04
   0.186164E-02   0.670171E+04
   0.208042E-02   0.738828E+04
   0.232491E-02   0.813230E+04
   0.259813E-02   0.893525E+04
   0.290346E-02   0.979775E+04
   0.324468E-02   0.107197E+05
   0.362599E-02   0.116987E+05
   0.405211E-02   0.127316E+05
   0.452831E-02   0.138127E+05
   0.506047E-02   0.149346E+05
   0.511702E-02   0.150487E+05
   0.517419E-02   0.151630E+05
   0.523200E-02   0.152776E+05
   0.529046E-02   0.153925E+05
   0.534957E-02   0.155076E+05
   0.540934E-02   0.156229E+05
   0.546978E-02   0.157385E+05
   0.553089E-02   0.158543E+05
   0.559269E-02   0.159703E+05
   0.565518E-02   0.160865E+05
   0.571836E-02   0.162028E+05
   0.578225E-02   0.163193E+05
   0.584686E-02   0.164359E+05
   0.591219E-02   0.165526E+05
   0.597824E-02   0.166695E+05
   0.604504E-02   0.167864E+05
   0.611258E-02   0.169034E+05
   0.618088E-02   0.170204E+05
   0.624994E-02   0.171375E+05
   0.631977E-02   0.172546E+05
   0.639038E-02   0.173716E+05
   0.646178E-02   0.174887E+05
   0.653398E-02   0.176057E+05
   0.660698E-02   0.177226E+05
   0.668080E-02   0.178394E+05
   0.675545E-02   0.179562E+05
   0.683093E-02   0.180728E+05
   0.690725E-02   0.181892E+05
   0.698442E-02   0.183055E+05
   0.706246E-02   0.184216E+05
   0.714137E-02   0.185374E+05
   0.722116E-02   0.186530E+05
   0.730184E-02   0.187684E+05
   0.738343E-02   0.188834E+05
   0.746592E-02   0.189982E+05
   0.754934E-02   0.191126E+05
   0.763369E-02   0.192266E+05
   0.771898E-02   0.193402E+05
   0.780523E-02   0.194534E+05
   0.789244E-02   0.195662E+05
   0.798062E-02   0.196785E+05
   0.806979E-02   0.197902E+05
   0.815995E-02   0.199015E+05
   0.825112E-02   0.200122E+05
   0.834331E-02   0.201223E+05
   0.843653E-02   0.202317E+05
   0.853079E-02   0.203405E+05
   0.862611E-02   0.204487E+05
   0.872249E-02   0.205561E+05
   0.881995E-02   0.206628E+05
   0.891849E-02   0.207687E+05
   0.901814E-02   0.208737E+05
   0.911890E-02   0.209780E+05
   0.922079E-02   0.210813E+05
   0.932381E-02   0.211838E+05
   0.942799E-02   0.212852E+05
   0.953333E-02   0.213857E+05
   0.963984E-02   0.214852E+05
   0.974755E-02   0.215836E+05
   0.985646E-02   0.216810E+05
   0.996659E-02   0.217772E+05
   0.100779E-01   0.218722E+05
   0.101905E-01   0.219660E+05
   0.103044E-01   0.220586E+05
   0.104195E-01   0.221499E+05
   0.105360E-01   0.222399E+05
   0.106537E-01   0.223285E+05
   0.107727E-01   0.224157E+05
   0.108931E-01   0.225014E+05
   0.110148E-01   0.225857E+05
   0.111378E-01   0.226684E+05
   0.112623E-01   0.227496E+05
   0.113881E-01   0.228292E+05
   0.115154E-01   0.229071E+05
   0.116440E-01   0.229833E+05
   0.117741E-01   0.230578E+05
   0.119057E-01   0.231305E+05
   0.120387E-01   0.232014E+05
   0.121732E-01   0.232704E+05
   0.123092E-01   0.233375E+05
   0.124468E-01   0.234026E+05
   0.125858E-01   0.234657E+05
   0.127265E-01   0.235268E+05
   0.128686E-01   0.235858E+05
   0.130124E-01   0.236426E+05
   0.131578E-01   0.236973E+05
   0.133048E-01   0.237497E+05
   0.134535E-01   0.237998E+05
   0.136038E-01   0.238476E+05
   0.137558E-01   0.238931E+05
   0.139095E-01   0.239361E+05
   0.140649E-01   0.239767E+05
   0.142221E-01   0.240147E+05
   0.143810E-01   0.240502E+05
   0.145416E-01   0.240831E+05
   0.147041E-01   0.241134E+05
   0.148684E-01   0.241410E+05
   0.150345E-01   0.241658E+05
   0.152025E-01   0.241878E+05
   0.153724E-01   0.242071E+05
   0.155441E-01   0.242234E+05
   0.157178E-01   0.242369E+05
   0.158934E-01   0.242474E+05
   0.160710E-01   0.242549E+05
   0.162506E-01   0.242593E+05
   0.164321E-01   0.242607E+05
   0.166157E-01   0.242590E+05
   0.168014E-01   0.242541E+05
   0.169891E-01   0.242460E+05
   0.171789E-01   0.242347E+05
   0.173709E-01   0.242201E+05
   0.175649E-01   0.242022E+05
   0.177612E-01   0.241810E+05
   0.179596E-01   0.241564E+05
   0.181603E-01   0.241285E+05
   0.183632E-01   0.240971E+05
   0.185684E-01   0.240622E+05
   0.187758E-01   0.240239E+05
   0.189856E-01   0.239820E+05
   0.191978E-01   0.239367E+05
   0.194123E-01   0.238878E+05
   0.196292E-01   0.238353E+05
   0.198485E-01   0.237793E+05
   0.200702E-01   0.237196E+05
   0.202945E-01   0.236564E+05
   0.205212E-01   0.235896E+05
   0.207505E-01   0.235191E+05
   0.209824E-01   0.234450E+05
   0.212168E-01   0.233673E+05
   0.214539E-01   0.232860E+05
   0.216936E-01   0.232011E+05
   0.219360E-01   0.231125E+05
   0.221810E-01   0.230204E+05
   0.224289E-01   0.229247E+05
   0.226795E-01   0.228255E+05
   0.229329E-01   0.227227E+05
   0.231891E-01   0.226164E+05
   0.234482E-01   0.225067E+05
   0.237102E-01   0.223935E+05
   0.239751E-01   0.222769E+05
   0.242430E-01   0.221569E+05
   0.245138E-01   0.220337E+05
   0.247877E-01   0.219071E+05
   0.250647E-01   0.217774E+05
   0.253447E-01   0.216445E+05
   0.256279E-01   0.215085E+05
   0.259143E-01   0.213695E+05
   0.262038E-01   0.212276E+05
   0.264966E-01   0.210828E+05
   0.267926E-01   0.209351E+05
   0.270920E-01   0.207848E+05
   0.273947E-01   0.206318E+05
   0.277008E-01   0.204764E+05
   0.280103E-01   0.203185E+05
   0.283232E-01   0.201582E+05
   0.286397E-01   0.199958E+05
   0.289597E-01   0.198312E+05
   0.292833E-01   0.196646E+05
   0.296104E-01   0.194961E+05
   0.299413E-01   0.193259E+05
   0.302758E-01   0.191540E+05
   0.306141E-01   0.189806E+05
   0.309561E-01   0.188059E+05
   0.313020E-01   0.186298E+05
   0.316518E-01   0.184527E+05
   0.320054E-01   0.182746E+05
   0.323630E-01   0.180957E+05
   0.327246E-01   0.179161E+05
   0.330902E-01   0.177360E+05
   0.334600E-01   0.175554E+05
   0.338338E-01   0.173746E+05
   0.342118E-01   0.171938E+05
   0.345941E-01   0.170130E+05
   0.349806E-01   0.168324E+05
   0.353714E-01   0.166521E+05
   0.357666E-01   0.164724E+05
   0.361663E-01   0.162933E+05
   0.365704E-01   0.161151E+05
   0.369790E-01   0.159378E+05
   0.373921E-01   0.157616E+05
   0.378099E-01   0.155865E+05
   0.382324E-01   0.154129E+05
   0.386595E-01   0.152407E+05
   0.390915E-01   0.150702E+05
   0.395283E-01   0.149015E+05
   0.399699E-01   0.147348E+05
   0.404165E-01   0.145701E+05
   0.408681E-01   0.144076E+05
   0.413247E-01   0.142474E+05
   0.417864E-01   0.140895E+05
   0.422533E-01   0.139341E+05
   0.427254E-01   0.137812E+05
   0.432028E-01   0.136309E+05
   0.436855E-01   0.134832E+05
   0.441736E-01   0.133383E+05
   0.446671E-01   0.131961E+05
   0.451662E-01   0.130569E+05
   0.456709E-01   0.129206E+05
   0.461811E-01   0.127873E+05
   0.466971E-01   0.126569E+05
   0.472189E-01   0.125295E+05
   0.477465E-01   0.124050E+05
   0.482799E-01   0.122835E+05
   0.488194E-01   0.121648E+05
   0.493648E-01   0.120489E+05
   0.499164E-01   0.119358E+05
   0.504741E-01   0.118255E+05
   0.510380E-01   0.117178E+05
   0.516083E-01   0.116128E+05
   0.521849E-01   0.115102E+05
   0.527680E-01   0.114102E+05
   0.533576E-01   0.113124E+05
   0.539537E-01   0.112168E+05
   0.545566E-01   0.111232E+05
   0.551661E-01   0.110315E+05
   0.557825E-01   0.109414E+05
   0.564058E-01   0.108529E+05
   0.570360E-01   0.107657E+05
   0.576733E-01   0.106797E+05
   0.583177E-01   0.105947E+05
   0.592339E-01   0.104764E+05
   0.601502E-01   0.103678E+05
   0.610664E-01   0.102544E+05
   0.619827E-01   0.101425E+05
   0.628989E-01   0.100316E+05
   0.638152E-01   0.992108E+04
   0.647315E-01   0.981056E+04
   0.656477E-01   0.969964E+04
   0.665640E-01   0.958801E+04
   0.674802E-01   0.947540E+04
   0.683965E-01   0.936156E+04
   0.693128E-01   0.924639E+04
   0.702290E-01   0.912972E+04
